2018-04-13 01:14:32.113362 **脚本开始执行
2018-04-13 01:14:33.976191 **已获取 1 个Json请求网址
2018-04-13 01:14:38.773617 已下载 21 张图片：http://www.szpku.edu.cn/uploadfile/2016/0725/20160725100911190.jpg
2018-04-13 01:14:38.867335 已下载 22 张图片：http://www.szpku.edu.cn/uploadfile/2016/0725/20160725100758195.jpg
2018-04-13 01:14:39.117369 已下载 23 张图片：http://www.szpku.edu.cn/uploadfile/2014/0704/20140704052624747.jpg
2018-04-13 01:14:39.133032 已下载 24 张图片：http://tenc2.rabbitpre.com/93e71349-4c3a-4ca8-bf3f-d321f99beaae.png
2018-04-13 01:14:39.383161 已下载 25 张图片：http://img.pipi.cn/movies/300X400/juhe/201607/1469417583606731195.jpg
2018-04-13 01:14:39.554917 已下载 26 张图片：http://www.szpku.edu.cn/uploadfile/2014/0704/20140704052515186.jpg
2018-04-13 01:14:39.586288 已下载 27 张图片：http://www.reader8.cn/uploadfile/campus/20140735/0344/201407031444357902.jpg
2018-04-13 01:14:39.664302 已下载 28 张图片：http://p0.qhimg.com/t01a873ee04cfbe0809.jpg
2018-04-13 01:14:39.679929 已下载 29 张图片：http://www.reader8.cn/uploadfile/campus/20140735/0344/201407031444357903.jpg
2018-04-13 01:14:39.695556 已下载 30 张图片：http://img.anfone.net/outside/20150127/201501272036172397.jpg
2018-04-13 01:14:39.695556 已下载 31 张图片：http://s9.rr.itc.cn/f/wapChange/20141_24_11/a8onow4925553358323.jpg
2018-04-13 01:14:39.804972 已下载 32 张图片：http://pic.baike.soso.com/p/20140115/20140115121207-237919639.jpg
2018-04-13 01:14:39.898830 已下载 33 张图片：http://s9.knowsky.com/bk/2031/2012081611072400018.jpg
2018-04-13 01:14:39.945619 已下载 34 张图片：http://www.szpku.edu.cn/uploadfile/2016/0818/20160818081855945.jpg
2018-04-13 01:14:39.945619 已下载 35 张图片：http://www.szpku.edu.cn/uploadfile/2016/0818/20160818081711926.jpg
2018-04-13 01:14:40.023721 已下载 36 张图片：http://www.szpku.edu.cn/uploadfile/2016/0725/20160725100849534.jpg
2018-04-13 01:14:40.133135 
404： http://ent.vdolady.com/uploads/allimg/140930/40_140930220428_1-lp.jpg
2018-04-13 01:14:40.133135 
无法打开图片： http://sj.yuqinge.com/d/file/nxxl/2013-10-08/e4083ad0a86ad25d73bb99ad46e6c7bc.jpg
2018-04-13 01:14:40.148722 已下载 37 张图片：http://www.szpku.edu.cn/uploadfile/2016/0725/20160725101129514.jpg
2018-04-13 01:14:40.164347 已下载 38 张图片：http://www.g312.com/pic/uploadimg/2013-10/2013101014104265532.png
2018-04-13 01:14:40.227001 已下载 39 张图片：http://imgwx4.2345.com/dianyingimg/drama/img/role/7/26005/linzhenxin.jpg?1380952293
2018-04-13 01:14:40.289485 已下载 40 张图片：http://www.sznews.com/mb/images/attachement/jpg/site3/20170702/7003654533104514971_small.jpg
2018-04-13 01:14:40.508147 已下载 41 张图片：http://img.movie.kanimg.kankan.com/gallery/1029/0d5dfb8ada44d1ccf7f7348bef4722d0.jpg
2018-04-13 01:14:40.555021 已下载 42 张图片：http://www.szpku.edu.cn/uploadfile/2017/0718/20170718022542509.jpg
2018-04-13 01:14:40.570722 已下载 43 张图片：http://www.szpku.edu.cn/uploadfile/2015/0122/20150122024855540.jpg
2018-04-13 01:14:40.601963 已下载 44 张图片：http://a4.att.hudong.com/33/99/01300542501253139738996163751_s.jpg
2018-04-13 01:14:40.617641 已下载 45 张图片：http://www.szpku.edu.cn/uploadfile/2017/0718/20170718023332307.jpg
2018-04-13 01:14:40.820790 已下载 46 张图片：http://www.szpku.edu.cn/uploadfile/2014/0704/20140704052442588.jpg
2018-04-13 01:14:41.164586 已下载 47 张图片：http://www.szpku.edu.cn/uploadfile/2017/0718/20170718022907242.jpg
2018-04-13 01:14:41.461489 已下载 48 张图片：http://www.szpku.edu.cn/uploadfile/2016/0725/20160725100639970.jpg
2018-04-13 01:14:41.742650 已下载 49 张图片：http://www.szpku.edu.cn/uploadfile/2017/0718/20170718022808670.jpg
2018-04-13 01:14:42.057764 已下载 50 张图片：http://www.szpku.edu.cn/uploadfile/2016/0725/20160725101055152.jpg
2018-04-13 01:14:42.385938 已下载 51 张图片：http://www.szpku.edu.cn/uploadfile/2017/0718/20170718022833690.jpg
2018-04-13 01:14:42.417093 **下载完成！已下载 51 张图片，总用时 0:00:10.303731
